,id_left,text_left,id_right,text_right,,,label
0,D-01,"The water was evaporated, leaving the salt.",EM_45b,By letting it sit in a dish for a day.,,,0
1,D-02,"The water was evaporated, leaving the salt.",EM_45b,Let the water evaporate and the salt is left behind.,,,1
2,D-03,"The water was evaporated, leaving the salt.",EM_45b,The water evaporated and left salt crystals.,,,1
3,D-04,"The water was evaporated, leaving the salt.",EM_45b,I saw a pinkish grayish color that was blocking the water.,,,0
4,D-05,"The water was evaporated, leaving the salt.",EM_45b,You have to slowly tip the vial for only the water to go.,,,0
5,D-06,"The water was evaporated, leaving the salt.",EM_45b,"By pouring the water and salt into the thing, and letting the water evaporate.",,,1
6,D-07,"The water was evaporated, leaving the salt.",EM_45b,By slowly pouring it in a tray.,,,0
7,D-08,"The water was evaporated, leaving the salt.",EM_45b,The water evaporated so there was only salt left.,,,1
8,D-09,"The water was evaporated, leaving the salt.",EM_45b,We put the water with the salt in it and put it outside for the water to evaporate.,,,1
9,D-10,"The water was evaporated, leaving the salt.",EM_45b,I separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.,,,0
10,D-11,"The water was evaporated, leaving the salt.",EM_45b,Because you can see salt in water.,,,0
11,D-12,"The water was evaporated, leaving the salt.",EM_45b,I let the water evaporate.,,,1
12,D-13,"The water was evaporated, leaving the salt.",EM_45b,The water dried up and left the salt.,,,1
13,D-14,"The water was evaporated, leaving the salt.",EM_45b,We let the water evaporate.,,,1
14,D-15,"The water was evaporated, leaving the salt.",EM_45b,The water dried up.,,,1
15,D-16,"The water was evaporated, leaving the salt.",EM_45b,You just get water and the smashed mock rock and put the smashed rock and water together.,,,0
16,D-17,"The water was evaporated, leaving the salt.",EM_45b,"You put the water, a little bit, in a cup and leave it overnight.",,,0
17,D-18,"The water was evaporated, leaving the salt.",EM_45b,We evaporated the salt from the water because the water evaporated and separated.,,,1
18,D-19,"The water was evaporated, leaving the salt.",EM_45b,We put the water and salt in the Petri dish. The water evaporated and the salt became crystals.,,,1
19,D-20,"The water was evaporated, leaving the salt.",EM_45b,We poured the salt into a Petri dish and poured the water out.,,,0
20,D-21,"The water was evaporated, leaving the salt.",EM_45b,By the Petri dish.,,,0
21,D-22,"The water was evaporated, leaving the salt.",EM_45b,By putting water in a Petri dish and letting the water evaporate.,,,1
22,D-23,"The water was evaporated, leaving the salt.",EM_45b,Poured the top of the vial out.,,,0
23,D-24,"The water was evaporated, leaving the salt.",EM_45b,The salt dissolved and the water evaporated and the salt went to the bottom.,,,1
24,D-25,"The water was evaporated, leaving the salt.",EM_45b,We put it in a evaporation dish and the water evaporated.,,,1
25,D-26,"The water was evaporated, leaving the salt.",EM_45b,I put it on the evaporating dish.,,,1
26,D-27,"The water was evaporated, leaving the salt.",EM_45b,By pouring the water into the salt.,,,0
27,D-28,"The water was evaporated, leaving the salt.",EM_45b,We poured the water out of the bottle.,,,0
28,D-29,"The water was evaporated, leaving the salt.",EM_45b,Letting the water evaporate.,,,1
29,D-30,"The water was evaporated, leaving the salt.",EM_45b,Put it on a dish and then the water gets in the air and the salt stays.,,,1
30,D-31,"The water was evaporated, leaving the salt.",EM_45b,I do not know.,,,0
31,D-32,"The water was evaporated, leaving the salt.",EM_45b,The salt separated with the water because the salt was heavier but the water was not even heavy.,,,0
32,D-33,"The water was evaporated, leaving the salt.",EM_45b,We put the water in a clear cup and let it sit and the water evaporated and the salt stayed.,,,1
33,D-34,"The water was evaporated, leaving the salt.",EM_45b,I put some water in a dish and let the water evaporate so the salt would stay.,,,1
34,D-35,"The water was evaporated, leaving the salt.",EM_45b,Evaporate.,,,0
35,D-36,"The water was evaporated, leaving the salt.",EM_45b,The crystals were salt.,,,0
36,D-37,The crystals were square with Xs on the surface.,EM_45c,We used magnifying glasses and some sort of guide thing that told us what different kinds of salt looks like.,,,0
37,D-38,The crystals were square with Xs on the surface.,EM_45c,You take a look through the magnifying glass.,,,0
38,D-39,The crystals were square with Xs on the surface.,EM_45c,Because of the paper we looked at.,,,0
39,D-40,The crystals were square with Xs on the surface.,EM_45c,We looked at a piece of paper and one of the pictures looked like the crystals.,,,0
40,D-41,The crystals were square with Xs on the surface.,EM_45c,They will not shine.,,,0
41,D-42,The crystals were square with Xs on the surface.,EM_45c,They were square like salt.,,,1
42,D-43,The crystals were square with Xs on the surface.,EM_45c,We knew the crystals were salt because the crystal identification chart showed us that the different kinds of salt were crystals.,,,0
43,D-44,The crystals were square with Xs on the surface.,EM_45c,It said so on a paper.,,,0
44,D-45,The crystals were square with Xs on the surface.,EM_45c,Because it was at it because we had a chart that could tell us that.,,,0
45,D-46,The crystals were square with Xs on the surface.,EM_45c,They looked like salt.,,,0
46,D-47,The crystals were square with Xs on the surface.,EM_45c,We got a sheet with different kinds of crystals. So I looked for the same picture like the crystal and it said Kosher salt.,,,1
47,D-48,The crystals were square with Xs on the surface.,EM_45c,The teacher told us.,,,0
48,D-49,The crystals were square with Xs on the surface.,EM_45c,Because salt is made up of little crystals.,,,0
49,D-50,The crystals were square with Xs on the surface.,EM_45c,Because salt look like little pieces of a crystal.,,,0
50,D-51,The crystals were square with Xs on the surface.,EM_45c,I knew because they were shaped like kosher salt.,,,1
51,D-52,The crystals were square with Xs on the surface.,EM_45c,I knew the crystals were salt by the movie we watched.,,,0
52,D-53,The crystals were square with Xs on the surface.,EM_45c,Because flour does not turn into crystals.,,,0
53,D-54,The crystals were square with Xs on the surface.,EM_45c,Because salt is a crystal.,,,0
54,D-55,The crystals were square with Xs on the surface.,EM_45c,"Because it has a X in the middle, and salt was in it.",,,0
55,D-56,The crystals were square with Xs on the surface.,EM_45c,The crystals are kosher salt and kosher salt is salt!,,,0
56,D-57,The crystals were square with Xs on the surface.,EM_45c,By looking at the crystal identification sheet.,,,0
